EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years
281,Inactive,39,Male,Master/Postgraduate,04 Sep 2018,17 Mar 2021,Voluntary,Ready for the next challenge,01 Jan 2021,Product,Partnerships,195,156000,USD,Contract change,Y,E5,No,"2 years, 6 months, 13 days",2
763,Active,39,Female,Master/Postgraduate,03 May 2021,,,,03 May 2021,Marketing,Viral,725,156000,USD,New hire,N,M3,No,25 days,0
358,Inactive,46,Male,Unknown,30 May 2016,11 Apr 2019,Involuntary,Low Performance,30 May 2016,Engineering,,282,160000,EUR,,Y,,No,"2 years, 10 months, 12 days",2
228,Active,37,Male,Master/Postgraduate,01 Apr 2019,,,,15 Apr 2021,Engineering,Leadership,282,160000,EUR,Merit increase,Y,C-Level,Yes,"2 years, 1 month, 27 days",2
196,Inactive,39,Male,Undergraduate degree (Grado),09 Oct 2019,13 Nov 2020,Voluntary,Ready for the next challenge,01 Sep 2020,Business Development,Business Development,269,192000,USD,,Y,M2,No,"1 year, 1 month, 4 days",1
229,Inactive,43,Female,Master/Postgraduate,11 Feb 2019,30 Jun 2020,Involuntary,Low Performance,24 Jul 2019,Product,,282,196000,EUR,Merit increase,Y,C-Level,No,"1 year, 4 months, 19 days",1
269,Inactive,41,Male,Master/Postgraduate,25 Feb 2019,31 Dec 2020,Involuntary,Role no longer needed,01 Sep 2020,Leadership,Leadership,282,196000,EUR,Merit increase,Y,C-Level,No,"1 year, 10 months, 6 days",1
390,Inactive,39,Male,Unknown,10 Sep 2014,08 Apr 2019,Voluntary,Limited career opportunities,06 Apr 2018,Customer Success,Customer Support,282,200000,USD,,Y,,No,"4 years, 6 months, 28 days",4
282,Active,47,Male,Master/Postgraduate,31 Aug 2018,,,,15 Apr 2021,Leadership,Leadership,,200000,EUR,,Y,C-Level,Yes,"2 years, 8 months, 28 days",2
195,Active,33,Male,Undergraduate degree (Grado),16 Sep 2019,,,,22 Feb 2021,Product,Partnerships,704,200000,USD,Contract change,Y,M3,Yes,"1 year, 8 months, 12 days",1
431,Inactive,35,Female,Unknown,20 Aug 2018,09 Nov 2018,Voluntary,,20 Aug 2018,Product,,,211200,USD,,N,,No,"2 months, 20 days",0
760,Active,47,Female,Master/Postgraduate,21 Apr 2021,,,,21 Apr 2021,R&D,Core,725,220000,USD,New hire,N,M3,Yes,"1 month, 7 days",0
773,Active,40,Male,Undergraduate degree (Grado),17 May 2021,,,,17 May 2021,Marketing,Growth Marketing,725,220000,USD,New hire,N,M4,No,11 days,0
725,Active,48,Male,Master/Postgraduate,15 Mar 2021,,,,15 Mar 2021,Marketing,Demand Generation,721,260800,USD,New hire,N,M4,Yes,"2 months, 13 days",0
721,Active,39,Female,Master/Postgraduate,22 Feb 2021,,,,22 Feb 2021,Product,Leadership,282,320000,USD,New hire,N,C-Level,Yes,"3 months, 6 days",0
